,id,text,datetime,authors,year_of_creation
0,107070,"узнал я дочка что драконы 
лишь девственниц пихают в пасть 
а значит надо постараться 
и пасть 
",2023-07-17 12:00:00,тодибо,Unknown
1,107061,"олег орёт на весь царьгород
ну кто теперь тут грязный скиф
и прибивает на ворота
носки
",2023-07-16 12:00:00,FeelGood,Unknown
2,107060,"у аристарха в манной каше
лежал такой огромный ком
что он потом на нем уехал
верхом
",2023-07-15 12:00:00,зажатый,2017
3,107059,"олега очень возмущает
существование глистов
особенно во время строгих
постов
",2023-07-14 12:00:00,"тры, Мурка",Unknown
4,107058,"критяне смотрятся отсюда
как насекомые на мхе
спасибо папа я прям рею
прям хе
",2023-07-13 12:00:00,Нестер Пим,Unknown
5,107057,"за регулярный сон в трамвае
олега бьют в аду плетьми
беременные инвалиды
с детьми
",2023-07-12 12:00:00,тодибо,Unknown
6,107056,"с трудом отбросив дрель и штопор
мы удержать себя смогли
от путешествия до центра
земли
",2023-07-11 12:00:00,НиРо,Unknown
7,107055,"хотел в рассвет уйти из дома
послушать пенье первых птах
но тут жена спросонья строго
кудах
",2023-07-10 12:00:00,данилова,Unknown
8,107048,"достигнув славы всенародной
сижу себе и скромно жду
а та никак не превратится
в между
",2023-07-09 12:00:00,тебе товарищ,2017
9,107047,"барталамью пошол в театыр
но не был внутренне готов
увидеть в гардеробе столько
польтов
",2023-07-08 12:00:00,ветер,2015
10,107046,"богатыри на брег выходят
дубася всех на кураже
а с дуба смотрит кот учёный
уже
",2023-07-07 12:00:00,икигаев,Unknown
11,107044,"я к разногласиям которых
меж нас и так полным полно
чуть чуть добавлю но буквально
пол но
",2023-07-06 12:00:00,тры,Unknown
12,107043,"сидит тоскует лаборантка
среди пробирок и реторт
а так хотелось бы раздеться
и в торт
",2023-07-05 12:00:00,Nilpferd,Unknown
13,107042,"у вас аркадий на тарелке
лежит метровый кабачок
и вы ещё спросить посмели
а чо к?
",2023-07-04 12:00:00,Bartos,Unknown
14,107040,"не всякий сразу замечает
живя в веселье и грехе
когда хе хе перетекает
в кхе кхе
",2023-07-03 12:00:00,H_N,Unknown
15,107032,"олег не приходя в сознанье 
с женой законной брак расторг 
уговорил двух медсестричек 
и в морг 
",2023-07-02 12:00:00,Znake,2012
16,107031,"когда оксане захотелось 
отведать гречневый нектар 
вакула стибрил у царицы 
гектар 
",2023-07-01 12:00:00,Муля,2021
17,107030,"сирени липкий лист весенний 
огрызок света фонаря 
как это всё декоративно 
как зря 
",2023-06-30 12:00:00,Хобот Точный,Unknown
18,107029,"висит на выставке картина 
пингвин и одинокий груздь 
известная среди пингвинов 
как грусть 
",2023-06-29 12:00:00,тодибо,Unknown
19,107028,"не буду я за вас оксана 
сражаться насмерть с барсуком 
я с барсуком гораздо дольше 
знаком 
",2023-06-28 12:00:00,"Бартос, Якатюня",Unknown
20,107022,"у алевтины на балконе 
страпоны лыжа пулемёт 
а жизнь смотрю в ханты мансийске 
не мёд 
",2023-06-27 12:00:00,"сафо, Якатюня",Unknown
21,107021,"ещё в студенческие годы
у нас с друзьями был общак
чтоб коррумпировать вахтёров
общаг
",2023-06-26 12:00:00,Niloff,Unknown
22,107020,"вчера над нами разразилась 
настолько сильная гроза 
что до сих пор стучат по лужам 
глаза 
",2023-06-25 12:00:00,SSebastian,2012
23,107019,"меня физрук поил водярой 
я верещала не вода ж 
в душе подспудно ожидая 
когда ж 
",2023-06-24 12:00:00,Вороныч,2012
24,107018,"я стать хотел аквалангистом 
и тайны покорять глубин 
а тут навстречу тридцать с лишним 
дубин 
",2023-06-23 12:00:00,Bartos,Unknown
25,107017,"мы просто в кухне холодильник 
на пять шагов перенесли 
а он сместил магнитный полюс 
земли 
",2023-06-22 12:00:00,Ольга Ступина,Unknown
26,107016,"сегодня мне невыносимо
такая духота и зной
прошу окно не закрывайте
за мной
",2023-06-21 12:49:47,данилова,Unknown
